ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,NO3,SO4,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-1,SW,Huai River,Huai River,7.7,1,-9.2,-65,9.1,32.7,7.7,261,4.28,3.73,38.78,21.21,11.61,27.64,1.53,22.3,151.2184325,2.478990697
SYH-2,SW,Huai River,Huai River,7.1,-5.3,-9.5,-67,9.5,34.2,7.6,165,3.87,2.96,27.12,9.44,7.16,16.8,0.75,11.66,100.6470223,1.649951185
SYH-3,SW,Lower reaches,Lower reaches,8.3,0.8,-8.2,-59,7,34.3,7.9,552,2.91,5.96,79.25,57.35,25.85,71.27,0.75,65.6,311.3612315,5.104282484
SYH-4,SW,Lower reaches,Lower reaches,8.3,0.4,-8.1,-58,6.7,33.1,7.9,776,3.64,5.9,77.85,60.55,25.5,71.31,6.42,68.26,295.4956911,4.844191657
SYH-5,SW,Lower reaches,Lower reaches,7.9,2.6,-7.8,-55,7.2,32.7,8.1,663,4.52,5.88,95.23,70.41,32.09,87.85,0.72,75.57,370.8570083,6.079623086
SYH-6,SW,Lower reaches,Lower reaches,8.9,4.7,-8.1,-59,6.3,33.6,8.2,573,6.3,7.11,67.64,75.11,26.01,80,9.29,80.69,281.6133432,4.616612183
SYH-7,SW,Lower reaches,Lower reaches,8.1,5.2,-7.8,-55,8,30.7,7.9,627,4.64,5.23,89.95,60.74,29.49,79.48,0.7,66.74,353.0082753,5.787020906
SYH-8,SW,Lower reaches,Lower reaches,7.5,6.3,-9,-64,7.3,31.2,7.7,486,2.96,7.5,54.5,63.21,19.21,63.66,5.63,83.33,223.6049609,3.665655096
SYH-9,SW,Middle reaches,Middle reaches,8.2,5,-8.6,-62,6.9,32,7.9,500,4.35,7.06,60.43,62.59,20.05,67.3,0.89,73.82,239.4705013,3.925745923
SYH-10,SW,Middle reaches,Middle reaches,8.5,6.6,-8.1,-57,7,30.9,8.6,832,13.3,8.51,100.14,114.75,39.06,113.3,22.13,117.67,420.9326203,6.90053476
SYH-11,SW,Middle reaches,Middle reaches,9.3,4.5,-8.7,-63,7,31.5,7.7,454,2.07,6.89,59.89,56.98,18.07,61.73,4.91,69.37,211.7058055,3.470586976
SYH-12,SW,Middle reaches,Middle reaches,9.9,4,-8,-59,4.7,30.5,8.2,459,5.89,7.16,52.77,56.31,18.77,59.45,0.61,81.95,196.8318613,3.226751825
SYH-13,SW,Middle reaches,Middle reaches,8.4,6.1,-8.8,-63,7.2,29.6,8,642,4.09,8.05,52.59,100.39,33.83,88.43,3.8,115.37,297.9746818,4.884830849
SYH-14,SW,Middle reaches,Middle reaches,10.5,4.5,-8,-58,5.3,31.2,8.1,468,4.74,7.39,56.36,55.91,19.44,61.67,4.16,87.83,208.7310167,3.421819946
SYH-15,SW,Upper reaches,Sha River,10,4.1,-8,-59,5,31,7.6,352,5.57,4.68,56.97,32.09,13.79,39.1,7.71,72.95,150.7226344,2.470862859
SYH-16,SW,Upper reaches,Ying River,10.9,3.6,-7.9,-59,4.7,30.7,8,355,6.98,4.79,55.26,32.11,13.84,39.78,7.67,71.98,158.6554046,2.600908272
SYH-17,SW,Upper reaches,Jialu River,8,4.7,-8.7,-61,8,31.6,7.9,531,4,10.34,50.2,78.04,22.26,80.63,8.15,88.1,214.6805944,3.519354006
SYH-18,SW,Upper reaches,Sha River,10.6,3.8,-8.1,-59,6.1,30.1,7.6,290,4.89,3.78,50.64,19.62,11.98,27.46,4.92,50.64,142.294066,2.332689607
SYH-19,SW,Upper reaches,Sha River,8.6,4.6,-9.4,-67,7.5,29.2,7.6,211,5.46,2.96,40.93,9.09,10.3,19.98,4.24,25.62,114.0335721,1.869402821
SYH-20,SW,Upper reaches,Sha River,12,4.7,-7.1,-51,5.6,30.1,7.5,356,2.22,4.72,62.04,31.93,14.09,36.23,2.43,75.33,182.9495134,2.999172351
SYH-21,SW,Upper reaches,Sha River,15,6.1,-6.5,-46,5.7,29.6,7.5,306,3.97,3.31,53.77,22.08,12.1,21.63,4.14,67.1,153.6974232,2.519629889
SYH-22,SW,Upper reaches,Sha River,11,4.8,-6.9,-51,3.7,30.4,8.6,559,10.8,6.34,67.57,95.18,18.26,77.36,5.22,187.5,135.3528921,2.21889987
SYH-23,SW,Upper reaches,Sha River,11.7,5.4,-6.3,-45,5.1,28.8,7.5,294,3.16,3.38,55.05,22.16,12.4,21.99,6.17,68.18,134.8570939,2.210772031
SYH-24,SW,Upper reaches,Sha River,14.7,7.2,-5.8,-42,4.8,30.7,8.7,273,11.37,2.22,55.66,15.67,12.23,17.04,0.69,55.77,125.9327274,2.064470941
SYH-25,SW,Upper reaches,Sha River,9.1,-1.9,-10.1,-70,10.5,30,7.7,220,4.73,2.04,47.34,10.28,9.32,10.32,6.89,39.31,123.9495348,2.031959588
SYH-26,SW,Upper reaches,Sha River,9.3,-0.9,-7.9,-57,6.9,32.1,8.1,179,8.48,2.88,37.8,8.86,7.94,7.68,3.24,32.52,101.6386186,1.666206862
