ID,Type,Reach,River,S34,O18_jz,O18_gy,D,dexcess,T,pH,TDS,DO,K,Ca,Na,Mg,Cl,SO4,NO3,HCO3_mgL_tit,HCO3_mmolL_tit
SYH-1,SW,Huai River,Huai River,9.1,5.5,-4.6,-35,2.5,8.6,8.47,297,12.89,5.58,41.38,61.15,17.24,60.48,46.13,4.1,201.7674748,3.307663521
SYH-2,SW,Huai River,Huai River,8.2,6.3,-3.8,-28,2.5,8.4,8.36,190,11.6,4.38,34.27,29.57,11.35,35.39,26.05,3.4,140.4361704,2.302232302
SYH-3,SW,Lower reaches,Lower reaches,8.6,5.8,-5.6,-42,2.4,8.5,8.49,435,8.61,8.51,53.17,103.57,24.75,92.32,82.86,7.42,265.8524296,4.35823655
SYH-4,SW,Lower reaches,Lower reaches,8.6,5.1,-5.7,-43,2.8,9.9,8.81,440,8.12,8.98,56.43,105.18,23.68,93.8,100.92,10.36,261.3464562,4.284368134
SYH-5,SW,Lower reaches,Lower reaches,8.6,5.1,-6.1,-45,3.6,9.9,8.36,469,7.06,9.26,58.13,112.15,24.67,101.18,103.92,14.81,273.3623852,4.481350577
SYH-6,SW,Lower reaches,Lower reaches,8.3,6.3,-6.6,-48,4.7,9.6,8.56,471,13.25,9.88,55.43,115.31,25.21,109.02,132.62,14.73,253.8365006,4.161254107
SYH-7,SW,Lower reaches,Lower reaches,12,7.2,-6.4,-47,4.1,9.4,8.29,468,9.14,9.73,55.76,114.77,25.2,112.51,127.99,14.52,256.0894872,4.198188315
SYH-8,SW,Lower reaches,Lower reaches,13.8,5.7,-7.2,-50,7.5,8.3,8.03,453,7.04,9.77,59.27,100.16,23.96,108.22,117.77,24.39,251.5835139,4.124319899
SYH-9,SW,Middle reaches,Middle reaches,15.5,7.6,-7.1,-50,6.6,8.2,8.21,484,7.91,11.17,65.04,108.03,25.85,125.52,122.5,29.56,263.5994429,4.321302342
SYH-10,SW,Middle reaches,Middle reaches,15.4,5.7,-6.8,-49,5.2,7.3,8.47,564,10.65,10.83,59.89,152.44,27.9,170.57,155.6,15.38,300.0482867,4.918824373
