spec,env,p,r
PC1,pH,0.02,0.022182059
PC1,TDS,0.86,0.859060304
PC1,DO,0.07,0.073531907
PC1,K,0.91,0.90662875
PC1,Na,0.97,0.96510842
PC1,Ca,0.54,0.537157159
PC1,Mg,0.94,0.937272068
PC1,Cl,0.96,0.958756627
PC1,SO4,0.84,0.840440696
PC1,NO3,0.53,0.527940283
PC1,HCO3,0.82,0.818645306
PC1,S34SO4,-0.07,0.065472153
PC1,O18SO4,0.2,0.202525527
PC1,O18H2O,-0.02,0.01853509
PC1,H2H2O,-0.05,0.049008727
PC2,pH,0.07,0.070109905
PC2,TDS,-0.03,0.033564939
PC2,DO,0.27,0.274595049
PC2,K,-0.01,0.013463546
PC2,Na,0.13,0.12526994
PC2,Ca,-0.11,0.11169698
PC2,Mg,0.07,0.066180325
PC2,Cl,0.1,0.101283782
PC2,SO4,0.19,0.192589465
PC2,NO3,-0.12,0.122208705
PC2,HCO3,-0.09,0.085289889
PC2,S34SO4,0.27,0.26590173
PC2,O18SO4,0.78,0.781738863
PC2,O18H2O,0.91,0.909468201
PC2,H2H2O,0.93,0.925249018
PC3,pH,0.12,0.124488557
PC3,TDS,0.32,0.318568078
PC3,DO,0.07,0.074142315
PC3,K,-0.32,0.316569494
PC3,Na,-0.09,0.085664875
PC3,Ca,0.72,0.723413464
PC3,Mg,0.13,0.130579644
PC3,Cl,0.01,0.008122267
PC3,SO4,0.2,0.201938076
PC3,NO3,-0.16,0.158196618
PC3,HCO3,0.23,0.229017563
PC3,S34SO4,0.76,0.761693148
PC3,O18SO4,-0.18,0.179271608
PC3,O18H2O,0.23,0.22610814
PC3,H2H2O,0.19,0.187459511
PC4,pH,0.87,0.871647891
PC4,TDS,0.07,0.068540752
PC4,DO,0.87,0.873446953
PC4,K,0.03,0.034553333
PC4,Na,0.05,0.053698348
PC4,Ca,0.02,0.022014444
PC4,Mg,0.01,0.005664048
PC4,Cl,0.03,0.029763705
PC4,SO4,0.18,0.181277027
PC4,NO3,0.35,0.346509054
PC4,HCO3,-0.17,0.169165288
PC4,S34SO4,0.17,0.171008084
PC4,O18SO4,0.02,0.023257566
PC4,O18H2O,0.15,0.153697407
PC4,H2H2O,0.17,0.169659455
