pc1,pc2,pc3,pc4
0.553613619,-1.428585836,0.675215476,-1.003252641
2.870706503,-2.119773045,1.538012751,-1.294352413
-1.566967691,-0.147801437,0.471366914,-0.623243659
-1.813888247,-0.1899146,-0.05937535,-0.924234995
-2.022727174,0.50219742,0.349185767,-0.450672841
-2.311114859,0.103651764,-0.161122873,-1.486481557
-2.287716721,-0.109832709,-0.029627945,-0.164760381
-2.079452367,0.574452068,-0.345182073,0.511364839
-2.68602283,0.018274003,-0.740138801,0.607055368
-3.299198678,-0.311175454,-1.167144742,0.29874429
-2.759920608,0.648263977,-0.910134835,0.622144292
-2.401337888,0.307563218,-0.963055661,0.048853352
-2.654906602,0.645161537,-0.888842833,0.201913997
-2.241230188,0.412323806,-1.545664575,-0.763516936
-1.863795297,-1.903592817,0.749613875,0.662973776
-0.13077513,-1.928049156,-0.352701132,-0.119088409
-2.394871241,0.77778932,-1.073164682,-1.002745455
-1.64977606,-1.936432008,-0.244800241,1.151261311
2.430111903,-1.302272151,0.108029046,1.1170798
-2.132638769,-1.461603829,-0.6332857,0.985213021
-2.131479735,-1.715188299,-0.994310543,0.207866744
-2.748971678,-3.102714711,-1.246412083,-0.038779063
-2.075426781,-1.920915226,-1.364433777,-0.200456493
0.233336885,-2.503709952,-1.417028881,2.718952602
2.055882034,-1.734294296,-0.849040955,0.791290116
4.341556065,-2.50888893,0.15194349,0.018552046
6.010943604,-1.141867773,0.240683003,-0.848942642
-1.074021114,-1.260994607,-0.932156763,1.290911567
-1.522813123,-1.299914075,-1.768315422,1.194212807
-0.415765331,-1.291755162,-1.874794464,1.375244526
3.348550679,-0.558998836,-0.625531639,0.110606873
-3.515456986,-0.338047758,-1.430129936,-1.976470607
-3.61188329,0.65794819,-0.785602794,-0.972938457
-3.349069503,0.026269926,-1.285704464,-1.118773742
0.088332274,-0.603923245,-0.398263916,-0.747727574
4.900483763,-0.17641784,-0.389647344,-0.123794847
0.335991737,-0.31771546,-1.029282031,4.299836577
-2.00772059,1.01763774,-0.757278959,-1.398669726
-1.958410899,1.406865376,-0.80484832,-1.139397418
-1.806134461,1.487870735,-0.450944443,-1.111712689
-1.986927387,1.520667067,-0.921928132,-0.936327352
-1.213082006,-0.503406089,1.554255013,0.153755013
-0.081178764,-1.316502711,2.614070501,-0.100458858
-2.479053407,-0.237307661,1.660828528,0.198315001
-2.37477056,-0.038483857,1.870848926,0.122569822
-2.179869909,0.276330312,1.70631848,0.241635046
-1.966568606,0.142002801,0.749175003,0.304381903
