S34,O18,Camp
7.7,1,Aug
7.1,-5.3,Aug
8.3,0.8,Aug
8.3,0.4,Aug
7.9,2.6,Aug
8.9,4.7,Aug
8.1,5.2,Aug
7.5,6.3,Aug
8.2,5,Aug
8.5,6.6,Aug
9.3,4.5,Aug
9.9,4,Aug
8.4,6.1,Aug
10.5,4.5,Aug
10,4.1,Aug
10.9,3.6,Aug
8,4.7,Aug
10.6,3.8,Aug
8.6,4.6,Aug
12,4.7,Aug
15,6.1,Aug
11,4.8,Aug
11.7,5.4,Aug
14.7,7.2,Aug
9.1,-1.9,Aug
9.3,-0.9,Aug
6.9,-1.7,Aug
12.1,3.8,Aug
13.6,1.7,Aug
8.5,0.8,Aug
9.3,3.1,Aug
8.6,2.4,Aug
14.5,-1.1,Aug
7.5,-1.3,Aug
10.8,2.1,Aug
8.8,0.4,Aug
13.5,4.1,Aug
7.7,4.1,Aug
7.5,5.3,Aug
10.5,5.2,Aug
8.4,4.8,Aug
