S34,O18,Camp
9.1,5.5,Dec
8.2,6.3,Dec
8.6,5.8,Dec
8.6,5.1,Dec
8.6,5.1,Dec
8.3,6.3,Dec
12,7.2,Dec
13.8,5.7,Dec
15.5,7.6,Dec
15.4,5.7,Dec
14.6,4.4,Dec
14.1,6.1,Dec
13.3,5.7,Dec
12.4,4.3,Dec
11.3,6.1,Dec
13.1,6.3,Dec
10.1,5,Dec
13.4,6.4,Dec
11.7,5.7,Dec
12.5,6.4,Dec
11.5,6.9,Dec
12.8,9.4,Dec
11.3,7,Dec
14.6,10.5,Dec
13.4,7.7,Dec
11.2,7.6,Dec
9.4,6.2,Dec
12.7,7.5,Dec
13.9,5.4,Dec
14.5,7.1,Dec
9.8,5.4,Dec
8.6,6.649782051,Dec
10.1,6,Dec
9.4,6.139794872,Dec
9.9,5.525769231,Dec
9.4,3.740487179,Dec
16.1,8.526525641,Dec
8.7,6.170794872,Dec
8.7,4.784288462,Dec
8.6,4.963711538,Dec
9,4.875134615,Dec
