S34,O18,Camp
9.9,8.5,May
9.2,12.3,May
9.7,13.2,May
9.4,13.6,May
9.3,11.2,May
10.3,6.9,May
9.8,12.9,May
9.5,12.3,May
10.1,12.9,May
9,6.7,May
9.9,12.8,May
8.6,13.5,May
9,13.2,May
8.8,13.1,May
9.5,8.7,May
10.1,10,May
9.2,15.7,May
11.9,8.8,May
10.8,6.3,May
11.2,9.7,May
11.2,10.1,May
12.4,11.2,May
10.4,8.9,May
16.8,11.5,May
12.7,8.7,May
10.2,9.6,May
11.1,11.2,May
13.5,8.9,May
15.5,10.1,May
9.5,10.1,May
9,13.8,May
10.2,8.9,May
9.7,8.9,May
8,9.3,May
12.2,9.3,May
8.3,12.5,May
14,8.3,May
9.3,13,May
9.2,13.1,May
9.3,12.1,May
9.4,12.9,May
